Bangla,Chatgaya
আপনি কি আমার কথা শুনছেন?,অঁনে কি আঁর হতা উইনতে লাইজ্ঞুন?
"তুই একদম আমাকে ভুলে গেছিস, একটা কল পর্যন্ত দেস না","তুই এব্বেরে আঁরে ভুলি গেইয়্যুস, উজ্ঞো কল পর্যন্ত নো দস"
"তুমি যদি একা যাও, তাহলে রাতের বাসে যেও না","তুঁই যদি এহেল্লে যও, তইলি রাতিয়ের বাসুত ন যাইয়্যু"
আমার থেকে একবার নিলে বারবার নিতে মন চাইবে,আত্তুন একবার লইলি বারবার লইতু মন চাইবু
এত চিন্তা করলে মাথার চুল যা আছে সব পড়ে যাবে,এত চিন্তে গরিলি মাথাত চুল যা আছে বিয়াক পরি যাইবু
বেশি দুষ্টামি না করে প্যান্টটা পরে নাও,বেশি যারগই ন গরি ফেন ইবে পরি লও
"আমার বমি আসবে মনে হচ্ছে, তোর কাছে আচার আছে?","আত্তুন বুমি আইবু মনে অর, তোর হাছে আচার আছে?"
আমার যখন মন খারাপ থাকে তখন আমি উঠোনে পুকুরের পাশে বসে থাকি,আত্তুন যহন মন হারাপ থাহে তহন আঁই উডোনোত ফইরোর পাশে বই থাহি
"আমি খুঁজে পেয়েছি, তোমাকে আর খুঁজতে হবে না","আঁই তোওয়াই ফাই, তোঁয়াত্তুন আর তোওয়ান ফইত্তু নো"
"আচ্ছা ঠিক আছে, এসব নিয়ে আমি তোর সাথে তর্ক করতে চায় না","আইচ্ছে ঠিক আছে, এগিন লই রে আঁই তুর লগে তর্ক গইত্তাম ন চায়"
তোমার ভাইকে বলিও আমাকে কিছু টাকা ধার দিতে,তোঁয়ার ভাইরে হইয়্যো আঁরে কিছু টিয়া উধোর দিতো
"অন্য কেউ হলে ১০০০ টাকা বলতাম, আপনাকে দেখে কম বললাম","অন্য কিয়াই অইলি ১০০০ টিয়া হইতাম, অঁনোরে দেহি হম হইলাম"
"গ্যাস শেষ হয়ে গেছে, তাই এখন মাটির চুলায় রান্না করতে হবে","গ্যাস শেষ অই গেইয়্যি, এতেল্লে এহন মেডির চুলোত রান্না গরন ফরিবু"
"তোর স্বভাব-চরিত্র আমার ভালো লাগছে না, দিন দিন খারাপ হয়ে যাচ্ছিস","তোর হাস্তা-হাসিলত আত্তুন গম ন লার, দিন দিন হারাফ অই যর"
ফুটবলে রোনালদোর অনেক ভক্ত আছে,ফুটবলুত রোনালদোর বৌত ভক্ত আছে
সারাদিন কম্পিউটারে বসে বসে কী করো?,আরাদিন কম্পিউটারোত বই বই কি গরো?
মার খেতে না চাইলে রাতে জলদি ঘুমিয়ে যাস,মাইর হাইতু ন চাইলি রাতিয়ে হারা ঘুমাই যাইস
বিশ্ববিদ্যালয়ে পড়ে মানে মেয়ে অনেক বড় হয়ে গেছে,বিশ্ববিদ্যালয় উত পরে মানি মেইফুওয়া বৌত বরো অই গেইয়্যি
তোর জন্য মেয়ে খুঁজতে খুঁজতে আমরা সবাই বিরক্ত হয়ে গেছি,তোর লাই মেইফুওয়া তোওয়াতে তোওয়াতে আঁরা বিয়াজ্ঞুন বিরক্ত অই গেই
মানুষ নাকি দাঁত থাকতে দাঁতের মর্যাদা বুঝে না,মানুষ বলে দাত থাইকতে দাতোর মুইল্য ন বুঝে
ঢাকায় গিয়ে তো আমাদেরকে ভুলে গেছিস,ঢাহাত যায় রে তো আঁরারে ভুলি গেইয়্যুস
রাস্তায় জ্যাম হলে পাঠাও করে চলে আসো,রাস্তাত জ্যাম অইলি পাঠাও গরি চলি আইয়্যু
"স্যার, আমি কি আসতে পারি?","স্যার, আঁই কি আইত পারি?"
ভুল কি আমি একা করেছি?,ভুল কি আঁই এহেল্লে গইজ্জি?
আপনি কোন চিন্তা করিয়েন না,অঁনে হনো চিন্তে নগইজ্জোন
"তারা যতই চেষ্টা করুক না কেন, আমরা থামব না","ইতারা যতই চেষ্টা গরক না কেন, আঁরা ন থাইম্মুম"
"ভাই, গাড়ি অন্য রাস্তা দিয়ে নিয়ে যান, শুনেছি এই রাস্তায় নাকি চোর-ডাকাতের ভয় আছে","বদ্দা, গারি অন্য রাস্তা দি লই যন, উইন্নি এই রাস্তাত নাকি চোর-ডাহাইতুর ডর আছে"
"কিরে, কী হয়েছে তোমার! তুমি কি আমার কোনো কথায় রাগ করেছো?","কিরে, কেন অইয়্যিদে তোঁয়াত্তন! তুঁই কি আঁর হনো হতাত গুসসা অইয়্যু?"
তুই তো দেখছি আমাদের গণিত স্যারের মতো বন্যার মধ্যেও ক্লাসে চলে আসছিস,তুই তো দেহির আঁরার গণিত স্যারোর মতন বন্যার মধ্যেও ক্লাসুত চলি আইসসুছ
বাংলাদেশ অনেক আর্জেন্টিনার সাপোর্টার আছে,বাংলাদেশুত বৌত আর্জেন্টিনার সাপোর্টার আছে
"এগুলো ব্যবসার টাকা ভাই, এগুলো ধার দিতে পারব না","এগুন ব্যবসার টিয়া ভাই, এগুন উধোর দিত পাইত্তাম ন"
"তোকে বলেছিলাম জিনিস কম আনতে, এখন এত ভারী ব্যাগ নিয়ে পাহাড়ে উঠব কীভাবে?","তোরে হইলাম দে জিনিস হম আনিবের লাই, এহন এল্লেত ভারী ব্যাগ লই ফা'রুত উইট্টুম কেনে?"
শরৎকালের আকাশে সাদা মেঘের ভেলা দেখে মন ভালো হয়ে যায়,শরৎহালে আকাশুত সাদা মৌলোর ভেলা দেহি মন ভালা অই যায়
"ওইদিকে আগুন লেগেছে মনে হয়, অনেক ধোঁয়া উঠছে","ওনদি অইন লেইজ্ঞি মনে অয়, বৌত ধুওয়ো উডের"
"তুমি ঘুমাতে যাও, আজকে আমি পরিষ্কার করে দিচ্ছি","তুঁই ঘুমাইতো যও, আজিয়ে আঁই সাফ গরি দির"
কাজ না হলে টাকা ফেরত দিব,হাম ন অইলি টিয়া ফেরত দিয়্যুম
আমরা অনেক মানা করার পরও ড্রাইভার গাড়ি স্লো করেনি,আঁরা বৌত মানা গরনুর পরও ড্রাইভার গারি স্লো ন গরে
"সমস্যা নাই, আমি তোমার জন্য অপেক্ষা করব","সমস্যা নাই, আঁই তোঁয়ার লাই অপেক্ষা গইজ্জুম"
"আমাদের আগে থেকে হোটেল বুক করে ফেলতে হবে, না হলে ওখানে গিয়ে ঝামেলায় পড়ে যাব","আরাত্তুন আগুত্তোন হোটেল বুক গরি ফেলন ফরিবু, নইলি এনডে যাই ঝামিলেত ফরি যাইয়্যুম"
কুয়াশা এত বেশি যে সামনে কী আছে কিছু বোঝা যাচ্ছে না,হুয়া এত বেশি দে সামনে কি আছে কি আছে কিছু বুঝা ন যার
"কিরে, তোর শরীর থেকে এত গন্ধ বের হচ্ছে কেন?","কিরে, তোর গা'আত্তুন এল্লেত গন্ধ কা বাইর অর?"
"ছোলার ডাল আর আনিও না, খেয়ে আমার পেট খারাপ হয়ে গেছে","চনাড্ডেইল আর ন আইন্নো, হাইয়্যিরে আঁর পেট হারাফ অই গেইয়্যি"
কেমন আছিস বন্ধু? ঢাকা থেকে কখন আসছোস?,কেন আছোস বন্ধু? ঢাহাত্তুন হত্তে আইস্যুস?
ঘরে শান্তি না থাকলে কি আর কোনো কিছু ভালো লাগে?,ঘরুত শান্তি ন থাহিলি কি আর হনো কিছু ভালা লাগে?
"বাসে ঘুমানো ভালো না, টাকা-পয়সা আর ব্যাগ চুরি হয়ে যেতে পারে","বাসুত ঘুম যন ভালা ন, টিয়া-ফুইশে আর ব্যাগ চুরি অই যাইত পারে"
সিএনজি নিয়ে মুরাদপুর থেকে নিউ মার্কেটে গেলে ভাড়া কত পড়বে?,সিএনজি লই মুরাদপুর উত্তুন নিউ মার্কেটুত গেলি ভারা হতো ফরিবু?
তোর বাবা নাকি আরেকটা বিয়ে করছেন? ঘটনাটা কি সত্যি?,তোর বাফ বলে আরেকগো বিয়ে গইজ্জি? ঘটনা ইয়েন কি সত্যি?
"এবার ঈদের বাজার জহুর মার্কেট থেকে করব, ওখানে জিনিস একটু সস্তা দামে পাওয়া যায়","এবার ঈদুর বাজার জহুর মার্কেটুত্তুন গইজ্জুম, এনডে জিনিস এক্কানা অস্তা দামে পা যায়"
সারাদিন বন্ধুদের সাথে ঘুরাঘুরি করলে পড়ালেখা কখন করবে?,আরাদিন বন্ধু অক্কলোর লগে ঘুরাঘুরি গরিলি পরালেহা হত্তে গরিবে?
"আপনি যে দাম বলেছেন, আমার মুখ দিয়ে তো আর কথা বের হচ্ছে না","অঁনে যে দাম হইয়্যুন, আঁর মুখুদ্দি তো আর হতা বাইর ন অর"
"এটা আমার বন্ধুর দোকান, সবাই এখান থেকে বাজার করিস","ইয়েন আঁর বন্ধুর দোয়ান, বিয়াজ্ঞুন এত্তুন বাজার গরিস"
আপনাদের অনলাইন শপে অর্ডার করেছিলাম কিন্তু তিন দিন পরেও ডেলিভারি পাইনি,অঁনোরার অনলাইন শ'পুত অর্ডার গইজ্জিলাম কিন্তু তিন দিন পরও ডেলিভারি ন পাই
জুতাগুলো পাপোসের উপর রাখো,জুতা এগিন ফাফোসুর উদ্দি রাহো
"কিছুদিন কাপড় ধুতে হয়নি, তাই গায়ের ব্যথা একটু কমেছে","কিছুদিন হর ধুঅন ন পরে, এতেল্লে গা'আর ব্যথা এক্কানা হইম্মি"
স্বভাব চরিত্র তো সব তোর ভাইয়ের মতো হয়েছে,হাস্তা হাসিলত তো বিয়াক তুর ভাইয়ুর মতন অইয়্যি
আজকে নিউ মার্কেট থেকে একটা পাঞ্জাবি কিনেছি,আজিয়ে নিউ মার্কেটুত্তুন উজ্ঞো পাঞ্জাবি কিন্নি
"আগামীকাল থেকে হরতাল, সেজন্য গাড়ি চলবে না","হালিয়েত্তুন অরতাল, এতেল্লে গারি ন চলিবু"
"কুকুর এটা অনেক দৌড়াতে পারে, সবার আগে চলে যাবে এটা","কুত্তো ইবে বত দূরিত পারে, বিয়াজ্ঞুনুর আগে চলি যাইবু ইবে"
"আপু, আমার চুলটা একটু বেঁধে দাও না","আফা, আঁর চুলগিন এক্কানা বাধি দও না"
পাহাড়ে বেশি ওপরে ওঠা ঠিক হবে না,ফা'রুত বেশি উরে উডন ঠিক ন অইবু
"খেলায় হার-জিত থাকে, তাই বলে মন খারাপ করে থাকবে?","খেলাত হার-জিত থাহে, তাই বলি মন হারাপ গরি থাহিবে?"
তার কথা মনে পড়লে আমার বুকটা একদম ভারী হয়ে যায়,তার হথা মনত ফরিলি আঁর বুক ইয়েন একদম ভারী অই যায়
"আমার বাড়ি পাশের গ্রামে, আমি মনজুর ভাইয়ের সঙ্গে দেখা করতে এসেছি","আঁর বারি পাশুর গ্রামুত, আঁই মনজুর ভাইয়্যুর লগে দেহা গইত্তাম আইসসি"
"দোকান আরেকটায় দেখেছি দাম অনেক কম, তুমি এত বেশি কেন নিচ্ছো?","দোয়ান আরেক্কান উত চাইলাম দাম বৌত হম, তুঁই এল্লেত বেশি কা লর?"
"লোকাল বাসে উঠলে এই সমস্যা, জায়গায় জায়গায় দাঁড়িয়ে থাকে","লোকাল বাসুত উডিলি এই সমস্যা, জাগাত জাগাত থিয়েই থাহে"
"আমারগুলো একদম টাটকা সবজি, কিছুক্ষণ আগেই ক্ষেত থেকে এনেছি","আঁর এগিন একদম টাটকা সবজি, এক্কানা আগেই ক্ষেতিত্তুন এইন্নি"
এই গরমের দিনে বেশি করে পানি পান করুন এবং যথাসম্ভব বাইরের রোদ এড়িয়ে চলুন,এই গরোমর দিনোত বেশি গরি পানি হন আর যেদ্দুর পারন বাদ্দির রইদুত্তুন দূরে থাহন
"শুরুতে সবকিছু ঠিক ছিল, এখন আস্তে আস্তে সবকিছু কেমন জানি হয়ে যাচ্ছে","শুরুদ্দি বিয়াক কিছু ঠিক আছিল, এহন আস্তে আস্তে বিয়াক কিছু কেন জানি অই গেইয়্যি"
দারোয়ানের ভাব দেখে মনে হচ্ছে যেন বাসার মালিক,দারোওয়ানুর ভাব দেহি মনে অদ্দে যেন বাসার মালিক
"এরা নৌকা ভাড়া বেশি চাচ্ছে, চল আমরা অন্য নৌকা দেখি","ইতারা নৌকো ভারা বেশি চার, চল আঁরা অন্য নৌকো চায়"
"আজকে আর কোনো ঢাকার বাস বাকি নেই, সবগুলো চলে গেছে","আজিয়ে আর হনো ঢাহার বাস বাকি নেই, বিয়াজ্ঞিন চলি গেইয়্যি"
"প্রতিদিন সকালে উঠে চিন্তা করি যে আজকে সারাদিন অনেক কাজ করব, কিন্তু কাজের কাজ কিছুই হয় না","ফইত্তুদিন বেইন্নে উডি চিন্তে গরিদি আজিয়ে আরাদিন বৌত হাম গইজ্জুম, কিন্তু হাজুর হাজ কিছুই ন অয়"
"এটা কি একদাম, নাকি কম হবে?","ইবে কি একদাম, নাকি হম অইবু?"
"ভাই, এটা একদম অরিজিনাল গার্মেন্টসের মাল","বদ্দা, ইবে একদম অরিজিনাল গার্মেন্টস উর মাল"
"আমি আপাতত এতটুকু লিখলাম, যদি সময় থাকে বাকি শব্দগুলোও লিখব","আঁই আপাতত এদ্দুর লেহিলাম, যদি সময় থাহে বাকি শব্দ এগুনও লেইক্কুম"
শীতের সকালে ভোরবেলা উঠে নামাজ পড়তে যাওয়া সত্যিই অনেক কঠিন কাজ,শীতুর সকালে ফুওয়াত্তে উডি নামাজ ফইত্তু যন সত্যিই বৌত কঠিন হাজ
"কোনো সমস্যা হয়ে থাকলে আমাকে বলতে পার, আমি তোমাকে সাহায্য করব","হনো সমস্যা অই থাহিলি আঁরে হইত পারো, আঁই তোঁয়ারে সাহায্য গইজ্জুম"
"আজকে সেহরি খাওয়ার জন্য উঠতে পারিনি, সেজন্য কিছু না খেয়ে রোজা রেখেছি","আজিয়ে সেহেরি হাইবের লাই উঢ়িত ন ফারি, এতেল্লে কিছু ন হাই রোজা রাইক্কি"
"ভাই, রাস্তায় এত জোরে হর্ন দেবেন না, আশেপাশের মানুষজন বিরক্ত হচ্ছে","বদ্দা, রাস্তাত এল্লেত জোরে অরন ন দিবেন, আশেপাশুর মানুষজন বিরক্ত অর"
"খালাম্মা নাকি বেড়াতে গেছেন, আমার সাথে যেতে পারবেন না","হালাম্মা বলে বেরাইতু গেইয়্যি, আঁর লগে যাইত ন ফারিবু"
আমার তাড়াতাড়ি কিছু একটা করতে হবে,আত্তুন তারাতারি কিছু এক্কান গরন ফরিবু
তোর শাশুড়ি তো ফোন ধরে না,তুর অরি তো ফোন ন ধরে
মেহমানদের বারান্দায় বসতে দাও এবং দরজার পর্দাটা টেনে দাও,মেমান অক্কলোরে বারান্দাত বইসতো দ আর দরজার পর্দাগান টানি দ
বাগানের কিছু কাজ এখনো বাকি আছে,বাগানোর কিছু হাম এহনো বাকি আছে
তোমার কথা শুনে আমার বুকে ব্যাথা শুরু হয়ে গেছে,তোঁয়ার হতা উনি রে আঁর বুকোত ব্যাথা শুরু অই গেইয়্যি
"মা, আমার জামাটা একটু ইস্ত্রি করে রাখো, কাল পরতে হবে","মা, আঁর হুত্তা ইবে এক্কানা ইস্ত্রি গরি রাহো, হালিয়ে পরন ফরিবু"
কাজের চাপ বেশি ছিল বলে তোমার ফোন ধরতে পারিনি,হাজুর চাপ বেশি আছিল দি এতেল্লে তোঁয়ার ফোন ধরিত ন ফারি
"আচ্ছা তুমি কাজ শেষ কর, আমি বাইরে অপেক্ষা করছি","আইচ্ছে তুঁই হাজ শেষ গরো, আঁই বাদ্দি অপেক্ষা গরির"
কি হয়েছে! কি হয়েছে জানিস না?,কি অইয়্যি দে! কি অইয়্যি দে ন জানোস?
এখানের দোকানদারগুলো সব সিন্ডিকেট,এনডের দোয়ানদার এগুন বিয়াক সিন্ডিকেট
যাওয়ার সময় আমাকে কিছু বলে যায়নি,যাইবের সমত আঁরে কিছু হই ন যায়
পরিশ্রম ছাড়া শুধু ভাগ্যের উপর ভরসা করে বসে থাকলে জীবনে কিছুই হয় না,পরিশ্রম ছারা উধো ভাইগ্যোর উদ্দি ভরসা গরি বই থাহিলি জীবনুত কিছুই ন অয়
সুলতান'স ডাইন থেকে কাচ্চি না খাওয়ালে আমার মন ভালো হবে না,সুলতান'স ডাইন উত্তুন কাচ্চি ন হাওয়াইলি আঁর মন ভালা অইতু নো
প্রতি বছর নদী ভেঙে অনেক ঘরবাড়ি নদীতে চলে যায়,ফইত্তু বছর দইজ্জে ভাঙি বৌত ঘরবারি দইজ্জেত চলি যায়
আমার মাথায় একটা বুদ্ধি আসছে,আঁর মাথাত এক্কান বুদ্ধি আইসসি
দীর্ঘদিন পর আপনাকে দেখে সত্যিই খুব ভালো লাগল,বৌতদিন পর অঁনোরে দেহি সত্যিই বৌত ভালা লাইজ্ঞি
"শুনলাম যারা সমুদ্রে মাছ ধরতে যায়, তাদেরকে অনেক সময় ডাকাতের কবলে পড়তে হয়","উইন্নি যারা সাগরুত মাছ ধইত্তো যায়, ইতারারে বৌত সময় ডাহাইতুর কবল উত ফরন ফরে"
"এটা আমার জন্য নিয়েছি, এটা আমি কাউকে দেব না","ইবে আঁর লাই লই, ইবে আঁই কিয়ারে দিতাম নো"
তোমার মন খারাপের কারণ জানতে পারি?,তোঁয়ার মন হারাপুর হারন জানিত পারি?
"ভাত খেয়েছিলাম অনেক আগে, কিন্তু এখনো হজম হচ্ছে না","ভাত হায়লাম বৌত আগে, কিন্তু এহনো অজম ন অর"
এরকম রোদে বের হলে কালো হয়ে যাব,এরহম রইদোত বাইর অইলি হালা অই যাইয়্যুম
তোমার দিনকাল কেমন যাচ্ছে?,তোঁয়ার দিনহাল কেন যার?
আমাদেরকে বিপদের সময় ভেঙে না পড়ে সবর করতে হবে,আরাত্তুন বিপদুর সমত ভাঙি ন পরি সবর গরন ফরিবু
"ঝাল অনেক বেশি হয়েছে, একটু পানি দাও","ঝাল বৌত বেশি অইয়্যি, এক্কানা পানি দ"
তুই এত জলদি চলে যাচ্ছিস কেন? শরীর ঠিক আছে?,তুই এতো জলদি কা চলি যর? শরীল ঠিকাছে?
"রাগ আমারও আসে, কিন্তু আমি নিয়ন্ত্রণ করতে পারি","গুসসা আত্তুনও আইয়্যি, কিন্তু আঁই নিয়ন্ত্রন গরিত পারি"
কালো রঙের থ্রি-পিস তোমাকে অনেক মানাবে,হালা রঙ উর থ্রি-পিস তোঁয়ারে বৌত মানাইবু
"একবার ঘাড়ে অনেক ব্যথা পেয়েছিলাম, প্রায় এক সপ্তাহ হাসপাতালে ছিলাম","একবার ঘেঢ়িত বৌত দুখ পায়লাম, প্রায় এক সপ্তাহ হাসপাতালুত আছিলাম"
জমিদার আংকেল বলছে ব্যাচেলর ভাড়া দেবে না,জমিদার আংকেল হইয়্যি ব্যাচেলার ভারা দিতু ন
তুমি একটু মামুনের সাথে যাও,তুই এক্কানা মামুনোর লগে যো
"শসাগুলোর দাম বেশি বলেছেন, আরেকটু কমিয়ে রাখেন","শসা এগুনুর দাম বেশি হইতে হইয়্যুন, আরেক্কানা হমাই রাহন"
দরজা খুলে দেখি একটা সুন্দরী মেয়ে দাঁড়িয়ে আছে,দরজা খুলি দেহি উজ্ঞো সুন্দরী মেইফুওয়া থিয়েই আছে
ছোটবেলায় আম্মু মাথায় তেল দিয়ে চুল আঁচড়ে দিতেন,গুরো থাকতে আম্মু মাথাত তেল দি চুল আঁচুরি দিতো
কি হয়েছে? চুপ করে কেন আছো?,কি অইয়্যি দে? চুপ গরি কা আছো?
"আমি বাইরে বের হই না অনেক দিন, ডাক্তার বারণ করেছিলেন","আঁই বাদ্দি বাইর ন অইর বৌত দিন, ডাক্তার মানা গইজ্জিল"
আজ থেকে তুমি প্রতিদিন সকালে হাঁটতে বের হবে,আজিয়েত্তুন তুঁই ফইত্তুদিন বেইন্নে আইট্টো বাইর অইবে
কতগুলো নতুন কাপড় নিতে হবে,হদোজ্ঞুন নতুন হর লন ফরিবু
মানুষটা সারাদিন মাঠে কাজ করে,মানুষ ইবে আরাদিন মাঢ়োত হাজ গরে
ব্যবসা করতে চাইলে অভিজ্ঞতা লাগে,ব্যবসা গইত্তো চাইলি অভিজ্ঞতা লাগে
ওকে দেখে আমার চোরের মতো লাগে,ইতেরে দেহি আত্তুন চোরুর মতন লাগে
"তুমি চিন্তা করো না, আমার ফোন বন্ধ হয়ে গিয়েছিল","তুঁই চিন্তে ন গইজ্জো, আঁর ফোন বন্ধ অই গেইয়্যিল"
"আমার খালাতো ভাই মিজান অনেক দুষ্টু, ছোটবেলায় ওর সাথে অনেক ঝগড়া হতো","আঁর হালতু ভাই মিজান বৌত জারগো, গুরো থাকতে ইতের লগে বৌত হইজ্জে অইতু"
"আবহাওয়া আজ একটু ঠাণ্ডা, এডজাস্ট করতে না পারলে জ্যাকেটটা পরে নিলে ভালো হয়","আবাহাওয়া আজিয়ে এক্কানা ঠাণ্ডা, এডজাস্ট গরিত ন পারিলি জ্যাকেট ইবে পরি লইলি ভালা অই"
শীতকালের দিন তাড়াতাড়ি চলে যায়,শীতহাইল্লে দিন তারাতারি চলি যায়
"এত ভালো একটা চাকরি পেয়েছি, মনে হচ্ছে ভাগ্য আজকে আমার পক্ষে ছিল","এল্লেত ভালা এক্কান চঅরি পায়, অনে অদ্দে ভেগ্য আজিয়ে আঁর পক্ষে আছিল"
হাঁস গুলোর দাম কত ভাই?,আঁস এগুনোর দাম হত বদ্দা?
ছোটবেলায় প্রতিদিন রাতে আব্বু আমাদেরকে গল্প শোনাত,গুরো থাকতে ফইত্তুদিন রাতিয়ে আব্বু আঁরারে গল্প উনাইতু
এবার আমার ঘাড় থেকে একটু নিচে নামো,এবার আঁর ঘেঢ়িত্তুন এক্কানা নিচে নামো
"আমার পরিচিত মানুষ আছে, আমি তাদের সাথে কথা বলব","আত্তুন পরিচিত মানুষ আছে, আঁই ইতারার লগে হতা হইয়্যুম"
হতাশ হয়ে বসে না থেকে কাজ কর,হতাশ অইয়্যিরে বই ন থাহি হাম গরো
কী ব্যাপার! আজ এত সেজেগুজে কোথায় যাচ্ছিস?,কী ব্যাপার! আজিয়ে এত সাজিগুজি হনডে যর?
আমাদের ঘরে অনেক বড় একটা কুকুর ছিল,আঁরো ঘরুত বৌত বরো উজ্ঞো কুত্তো আছিল
"সবকিছুর শুরু যেমন আছে, শেষও তেমনই আছে","বিয়াক কিছুর শুরু যেল্লেত আছে, শেষও এল্লেত আছে"
খাওয়ার পর থালাবাসন ধোয়ে রান্নাঘরটা পরিষ্কার করে রাখিও,হন'উর পর বাসনহুটারা ধুয় রে বসহানা ইয়েন পরিষ্কার গরি রাইক্কো
"এত টাকা খরচ করে বিদেশ ঘুরতে যাওয়ার দরকার নেই, আমরা দেশে কোনো একটা সুন্দর জায়গায় ঘুরে আসতে পারি","এতো টিয়া হরচ গরি বিদেশ ঘুইত্তো যাইবের দরহার নেই, আঁরা দেশুত হনো এক্কান সুন্দর জাগাত ঘুরি আইত ফারি"
বৃষ্টিতে ভিজে ঘরে গেলে আম্মু অনেক বকা দেবে,ঝরুত ভিজি ঘরুত গেলি আম্মু বৌত বকা দিবু
আপনি ভালো আছেন ম্যাম? ,অঁনে গম আছন ম্যাম?
"আমার কোন দোষ নাই, এটা আমি করি নাই","আঁর হনো দোষ নাই, ইয়েন আঁই ন গরি"
এখন সন্ধ্যা হয়ে গেছে,এহন আজুইন্নে অই গেইয়্যি
"ভাইয়া, এগুলো একদম ফ্রেশ তরকারি, কোনো ফরমালিন দিইনি","বদ্দা, এগিন একদম ফ্রেশ তরহারি, হনো ফরমালিন ন দিই"
ঢাকা থেকে খুলনা যেতে ট্রেনে এবং বাসে কোনটায় কম সময় লাগে?,ঢাহাত্তুন খুলনা যাইতে ট্রেনুত এবং বাসুত হন্নানুত হম সময় লাগে?
এই মেয়েটা তোকে পছন্দ করে মনে হয়,এই মেইফুওয়া ইবে তোরে পছন্দ গরে মনে অয়
এত কষ্ট পাওয়ার পরও কেন মানুষ প্রেমে পড়ে?,এদিজ্ঞিন হষ্ট ফাইবের পরও কেনে মাইনষে প্রেমুত পরে?
তোমার আব্বুর দিকে তাকিয়ে তোমাকে মাফ করে দিলাম,তোঁয়ার আব্বুর মিক্কে চায় তোঁয়ারে মাফ গরি দিলাম
"বেশি কিছু হয়নি, শুধু পায়ে একটু ব্যথা পেয়েছি","বেশি কিছু নো অয়, উধো টেং উত এক্কানা দুখ পায়"
"প্রেম করিও না, প্রেম করলে তোমার সুন্দর জীবনটা নষ্ট হয়ে যাবে","প্রেম ন গইজ্জো, প্রেম গরিলি তোঁয়ার সুন্দর জীবন ইয়েন নষ্ট অই যাইবু"
"আমি একা যেতে পারব, সমস্যা নাই","আঁই এহেল্লে যাইত পাইজ্জুম, সমস্যা নেই"
"তুমি অনেক পরিবর্তন হয়ে গেছো, আমাকে আর আগের মতো ভালোবাসো না","তুঁই বৌত বদলাই গেইয়্যু, আঁরে আর আগোর মতন ভালো নবাসো"
"তোদের দুজনের মধ্যে কী সমস্যা, সবসময় ঝগড়া কেন করিস?","তুরা দুনুজনুর মাঝে কী সমাস্যা, সবসময় হইজ্জে কা গরস?"
কোনো কিছু করার আগে আমাদেরকে এখান থেকে বের হতে হবে,হনো কিছু গরিবের আগে আরাত্তুন এত্তুন বাইর অন ফরিবু
অনেক পড়া জমে আছে,বৌত পরা জমি আছে
আমার এখনো অনেক কাজ বাকি,আঁর এহনো বৌত হাম বাকি
"আচ্ছা ঠিকাছে, আমি উঠছি","আইচ্ছে ঠিকাছে, আঁই উডির"
"আমি গত সপ্তাহে এখান থেকে একটা শার্ট কিনেছিলাম, কিন্তু সেটা একবার ধোয়ার পরেই নষ্ট হয়ে গেছে","আঁই গত সপ্তাত এত্তুন উজ্ঞো শার্ট কিন্নিলাম, কিন্তু ইবে একবার ধুঅন পরেই নষ্ট অই গেইয়্যি"
"মা, খাওয়ার জন্য কি আছে?","আম্মু, হায়বের লাই কি আছে?"
"বন্যার পানিতে অনেক মানুষ মারা গেছে, আর অনেক ঘরবাড়ি ও ফসলের ক্ষতি হয়েছে","বন্যার পানিত বৌত মানুষ মারা গেইয়্যি, বৌত ঘরবারি আর ফসলুর হতি অইয়্যি"
বড় মাছটার দাম কত ভাই?,বরো মাছ ইবের দাম হতো বদ্দা?
"রান্নাঘরে ডেকচি পড়ার শব্দ হলো, মনে হয় বিড়াল ঢুকেছে","বসহানাত ডেকচি পরিবের আওয়াজ অইয়্যি, মনে অয় বিলেই ঢুইক্কি"
"কিরে বাটপার, তোর বাটপারি কেমন চলে?","কিরে বাটপার, তোর বাটপারি কেন চলের?"
তুই আরও অনেক খেলা দেখাবি,তুই আরো বৌত খেলা দেহাবি
"সামনে একজন মানুষ দেখতে পাচ্ছি, চল উনার কাছ থেকেই জিজ্ঞেস করি","সামনে উজ্ঞো মানুষ দেহির, চল ইবেত্তুনই ফুসর লই"
"আজকে ঈদের দিন, তাই ভাড়া ডাবল","আজিয়ে ঈদুর দিন, এতেল্লে ভারা ডবল"
শেষ কবে রোদ দেখেছি  মনে নেই আমার,শেষ হত্তে রইদ দেইক্কি মনত নেই আত্তুন
নিয়মিত দৌড়ানো স্বাস্থ্যের জন্য অনেক উপকারী,নিয়মিত দূরন স্বাস্থ্যর লাই বৌত উপকারী
"মাছের ঝোলে লবণ বেশি হয়ে গেছে, খাওয়া যাচ্ছে না","মাছুর সুরগোত নুন বেশি অই গেইয়্যি, হন ন যার"
এতদিন কোথায় ছিলে?,এতোদিন হনডে আছিলে?
"আমাকে এখন কিছু টাকা ধার দাও, আমি তোমাকে এক সপ্তাহ পরে দিয়ে দিব","আঁরে এহন কিছু টিয়া উধোর দও, আঁই তোঁয়ারে এক সাপ্তাহ পরে দি দিয়্যুম"
