Chatgaya,Bangla
"বৌতদিন ধরি ওষুধ হাইর, তাও গম ন লার","অনেকদিন ধরে ওষুধ খাচ্ছি, তাও ভালো লাগছে না"
"অঁনোরে বৌতদিন নো দেহি, এতোদিন হনডে আছিলেন?","আপনাকে অনেকদিন দেখিনায়, এতদিন কোথায় ছিলেন?"
"আর দুদিন পর রমজান, এহনো রমজানুর বাজার গরা নো অয়","আর দুদিন পর রমজান, এখনো রমজানের বাজার করা হয় নাই"
আন্টি হইয়্যি তুই বলে শীতহালে গোসল ন গরস?,"আন্টি বলল, তুই নাকি শীতকালে গোসল করিস না?"
আজিয়ে ফজরত আঁই ভাত ন হাইয়্যুম,আজকে সকালে আমি ভাত খাব না
"এক্কানা আ'সো, এত চিন্তে গরি কি অইবু? বিয়াক ঠিক আই যাইবু","একটু হাসো, এত চিন্তা করে কী হবে? সব ঠিক হয়ে যাবে"
আঁর মেইফুওয়ার স্কুলুর লাই উজ্ঞো ভালা মানুর ব্যাগ দেহাইত ফারিবেন?,আমার মেয়ের স্কুলের জন্য একটা ভালো মানের ব্যাগ দেখাতে পারবেন?
"আঁর বুক জ্বলের, মনে অয় গ্যাস্ট্রিক বারি গেইয়্যি","আমার বুক জ্বালা করছে, মনে হয় গ্যাস্ট্রিক বেড়ে গেছে"
শরীলুত এতো ক্লান্তি জমি গেইয়্যি দে ছুটির দিনুতও বিছেন ছারি উইট্টু ইচ্ছে ন গরে,শরীরে এত ক্লান্তি জমে গেছে যে ছুটির দিনেও বিছানা ছেড়ে উঠতে ইচ্ছে করে না
"আজিয়ে যেহেতু দেরি অই গেইয়্যি, এতেল্লে আঁরা হালিয়ে বাইর অইয়্যুম","আজকে যেহেতু দেরি হয়ে গেছে, তাই আমরা আগামীকাল বের হব"
"আইবের সমত হদুজ্ঞুন জেইল্লে দেইক্কি, ইতারা মাছ ধরিবের লাই দইজ্জেত যার","আসার সময় কতগুলো জেলে দেখলাম, তারা মাছ ধরার জন্য নদীতে যাচ্ছে"
"এবার আঁর ব্যবসাত এব্বেরে লস অইবু, বিয়াক পিয়েজ পুচি গেইয়্যি","এবার আমার ব্যবসায় একদম লস হবে, সব পেঁয়াজ পচে গেছে"
"আঁই ইবে হাইতাম নো, তুঁই আরেকগো লই আইয়্যো","আমি এটা খাব না, তুমি আরেকটা নিয়ে এসো"
"দারোওয়ান উরে হইয়্যো যেন গেইট বন্ধ ন গরে, আত্তুন ফিত্তে এক্কানা দেরি অইবু","দারোয়ানকে বলিও যেন গেট বন্ধ না করে, আমার ফিরতে একটু দেরি হবে"
"আসসালামু আলাইকুম স্যার, অঁনে কেন আছন?","আসসালামু আলাইকুম স্যার, আপনি কেমন আছেন?"
বাকি হাম এগিন হালিয়ে চাইয়্যুম,বাকি কাজগুলো আগামীকাল দেখব
গুরো বাইচ্চে ইবে আঁর গা'আর উদ্দি পেশাব গরি দিইয়্যি,ছোট বাচ্চাটা আমার গায়ের ওপর প্রস্রাব করে দিয়েছে
বাজারোর লিস্ট আগেত্তোন তৈরি ন গরিলি বৌত সময় দরহারি জিনিস কিনতে ভুলি যায়,বাজারের তালিকা আগে থেকে তৈরি না করলে অনেক সময় দরকারি জিনিস কিনতে ভুলে যায়
যাদু গরি আঁর সংসার ইয়েন শেষ গরি দিইয়্যি,যাদু করে আমার সংসারটা শেষ করে দিছে
"আঁর মাথা এহন গরম, তোঁয়ার লগে পরে হতা হইয়্যুম","আমার মাথা এখন গরম, তোমার সাথে পরে কথা বলব"
"একদাম ৫০০ টিয়া রাইক্কুম, ইয়াত্তুন হমাইত ন ফাইজ্জুম","একদাম ৫০০ টাকা রাখব, এর থেকে কমাতে পারব না"
"আফা তারা ইক্কে আইয়্যুন, ভালা হর বিয়াজ্ঞিন ইনদি","আপুরা এইদিকে আসেন, ভালো কাপড় সবগুলো এইদিকে"
"স্যার, পরীক্ষেত এই প্রশ্ন ইয়েন আইবু কিনা এক্কানা হইবেন?","স্যার, পরীক্ষায় এই প্রশ্নটা আসবে কি না একটু বলবেন?"
"আত্তুন নতুন চঅরি অইয়্যি ঢাহাত, এতেল্লে আজিয়ে রাতিয়ে ট্রেনুত উডন ফরিবু","আমার নতুন চাকরি হয়েছে ঢাকায়, তাই আজকে রাতে ট্রেনে উঠতে হবে"
আঁই ঘুম যাইবের আগে ব্রাশ দি দাত মাজি,আমি ঘুমানোর আগে ব্রাশ দিয়ে দাঁত মাজি
"আরাত্তুন যদি ফিত্তে দেরি অই যাই, তইলি তুই হাইয়্যিরে ঘুমাই যাইস","আমাদের যদি ফিরতে দেরি হয়ে যায়, তাহলে তুই খেয়ে ঘুমিয়ে যাস"
তোর বউ বলে পাশুর বারির উজ্ঞো ফুওয়ার লগে পালাই গেইয়্যি?,তোর বউ নাকি পাশের বাড়ির একটা ছেলের সঙ্গে পালিয়ে গেছে?
"আঁই নৌকোত চরিত ন ফাইজ্জুম, আত্তুন ডর লাগে","আমি নৌকায় চড়তে পারব না, আমার ভয় লাগে"
"কি লেবুর শরবৌত হইয়্যুম, বাজারুত লেবুর যে দাম!","কি লেবুর শরবৌত খাবো, বাজারে লেবুর যে দাম!"
এত্ত বরো উডোনোত ঝারু দন বৌত হষ্ট,এত বড় উঠানে ঝাড়ু দেওয়া অনেক কষ্টকর
এন গরি আস্তে আস্তে হাম গরিলি ফুরোদিন চলি যাইবু,এভাবে আস্তে আস্তে কাজ করলে সারাদিন চলে যাবে
বেশি আদর গত্তে গত্তে এব্বেরে বান্দর বানাই ফেলাই,বেশি আদর করতে করতে একদম বাঁদর বানিয়ে ফেলছি
"আঁরার বারিত্তুন স্কুলুত যাইবের রাস্তা ইবে মেডির, যার হারনে বর্ষাহালে স্কুলুত যাইতে বৌত হষ্ট অয়","আমাদের বাড়ি থেকে স্কুলে যাওয়ার রাস্তাটা মাটির, যার কারণে বর্ষাকালে স্কুলে যেতে অনেক কষ্ট হয়"
আঁই মনে গইজ্জিলাম আজিয়ে গারি ন চলিবু,আমি মনে করেছিলাম আজকে গাড়ি চলবে না
আতুত্তুন ফরি হাপ ইবে ভাঙি গেইয়্যি,হাত থেকে পড়ে কাপটা ভেঙে গেল
"অঁনে এক্কানা শান্ত অন, বাস ১০ মিনিটুর মধ্যে ছারি দিবু","আপনি একটু শান্ত হন, বাস ১০ মিনিটের মধ্যে ছেড়ে দেবে"
"গুস্ত বেশি ন লইস, উদ্দিত্তুন এক্কানা গরি ল","মাংস বেশি নিস না, ওপর থেকে অল্প নে"
ফইত্তো বছর দইজ্জে ভাঙি বৌত ঘরবারি দইজ্জেত চলি যায়,প্রতি বছর নদী ভেঙে অনেক ঘরবাড়ি নদীতে চলে যায়
ঝরুর পরে আকাশ এতো পরিষ্কার অই যায় দে তারা এগুন স্পষ্ট দেহা যায়,ঝড়ের পরে আকাশ এত পরিষ্কার হয়ে যায় যে তারাগুলো স্পষ্ট দেখা যায়
"টিয়া বেশি ন লাগিবু, আঁরা বেশি দুরে ন যাইয়্যুম","টাকা বেশি লাগবেনা, আমরা বেশি দুরে যাব না"
মাছ কিনিলি অবশ্যই আইবের সমত হাডি লই আইবেন,মাছ কিনলে অবশ্যই আসার সময় কেটে নিয়ে আসবেন
আম্মু হদ্দে তুরে আর আন্টি রে একদিন বেরাইতো আইবের লাই,আম্মু বলছে তোকে আর আন্টিকে একদিন বেড়াতে আসতে
অঁনে তো আত্তুন ও অঁনোর মেইফুওয়ারেই বেশি দেইত ফারন,আপনি তো আমার থেকেও আপনার মেয়েকেই বেশি দেখতে পারেন
"চল, আজিয়ে সুলতান'স ডাইন উত্তুন কাচ্চি বিরেনি হাই আই","চল, আজ সুলতান'স ডাইন থেকে কাচ্চি বিরিয়ানি খেয়ে আসি"
সামনুর সপ্তাত কক্সবাজার বেরাইতাম যাইয়্যুম,সামনের সপ্তাহে কক্সবাজার বেড়াতে যাব
পরিচিত হইলি অঁনেরা আরো দাম বেশি রাহন,পরিচিত বললে আপনারা আরো দাম বেশি রাখেন
"আঁর লাই যে পিডেগিন বানাইয়্যুন, এগিন ফ্রিজুত রাহি দন","আমার জন্য যে পিঠাগুলো বানিয়েছেন, সেগুলো ফ্রিজে রেখে দেন"
আঁর পরিবার আঁর মিক্কে চাই থেইক্কি,আমার পরিবার আমার দিকে তাকিয়ে আছে
ল্যাপটপুর লগে গ্যারান্টি কার্ড ইয়েনও দি দন,ল্যাপটপের সাথে গ্যারান্টি কার্ডটাও দিয়ে দেন
"কি হর দিয়্যুন বদ্দা, একবার ধু'অনুর পর রঙ উডি গেইয়্যি","কি কাপড় দিছেন ভাই, একবার ধোয়ার পর রঙ উঠে গেছে"
সুলতান'স ডাইন উত্তুন কাচ্চি ন হাওয়াইলি আঁর মন ভালা অইতু নো,সুলতান'স ডাইন থেকে কাচ্চি না খাওয়ালে আমার মন ভালো হবে না
ঘরুত শান্তি ন থাহিলি কি আর হনো কিছু ভালা লাগে?,ঘরে শান্তি না থাকলে কি আর কোনো কিছু ভালো লাগে?
নতুন হুত্তা কিনিলি আঁর মন এব্বেরে ভালা অই যায়,নতুন জামা কিনলে আমার মন একদম ভালো হয়ে যায়
গাছফোওয়ানা আম হাই মন একদম ভালা অই গেইয়্যি,গাছপাকা আম খেয়ে মন একদম ভালো হয়ে গেছে
"তোঁয়ার সাহস তো হম নো, তুঁই অন্য গ্রামুর অইয়্যিরে এই গ্রামুর মেইফুওয়ারে ডিস্টার্ব গরো!","তোমার সাহস তো কম না, তুমি অন্য গ্রামের হয়ে এই গ্রামের মেয়েকে ডিস্টার্ব করো!"
আঁরা নতুন ব্রিজ দি ন যাই টানেল দি যাইয়্যুম,আমরা নতুন ব্রিজ দিয়ে না গিয়ে টানেল দিয়ে যাব
"আম্মু, এক্কানা হষ্ট গরি আঁর ঘরগান গুছায় দও, বিকেলে মেমাম আইবু","আম্মু, একটু কষ্ট করে আমার ঘরটা গুছিয়ে দাও, বিকেলে মেহমান আসবে"
আজুইন্নের আগে কিছু এক্কান গরিত ন পারিলি বিয়াজ্ঞুন এনডে আটকি ফইজ্জুম,সন্ধ্যার আগে কিছু একটা করতে না পারলে সবাই এখানে আটকা পড়ব
"আঁরার বাস সামনুর মসইদুত হতক্ষন থিয়েইবু, যারা নামাজ ফইত্তো চন ইতারা ফরি ফেলাইত ফারিবে","আমাদের বাস সামনের মসজিদে কিছুক্ষণ থামবে, যারা নামাজ পড়তে চান তারা পড়ে ফেলতে পারেন"
"জুতা এগিন যদি ন ফরুস, তইলি কিয়ারে দিই ফেলাইত ন ফারুস?","জুতা গুলো যদি না পরিস, তাহলে কাউকে দিয়ে দিতে পারিস না?"
"আত্তুন হাম আছে, আঁই এহন গরিত ন পাইজ্জুম","আমার কাজ আছে, আমি এখন করতে পারব না"
সেন্ট মার্টিন যাইবের লাই টেকনাফ উত্তুন জাচ বেইন্নে হত্তে চারে?,সেন্ট মার্টিন যাওয়ার জন্য টেকনাফ থেকে জাহাজ সকালে কখন ছাড়ে?
এই ঈদুত আঁরা বিয়াক বন্ধু একি রহম পাঞ্জাবি লই,এই ঈদে আমরা সব বন্ধুরা একরকম পাঞ্জাবি নিয়েছি
"এহন হালুরঘাট ব্রিজুর হাজ চলের, এতেল্লে আপাতত ফেরি লই দইজ্জে ফার অন ফরিবু","এখন কালুরঘাট ব্রিজের কাজ চলছে, তাই আপাতত ফেরি নিয়ে নদী পার হতে হবে"
রক্তোর সম্পর্কর টান বিয়াজ্ঞুনুত্তুন বেশি অয়,রক্তের সম্পর্কের টান সবচেয়ে বেশি হয়
"তোর বাফুর মাথা এহন গরম, এতেল্লে এহন ঘরুত ন আইস","তোর আব্বুর মাথা এখন গরম, তাই এখন ঘরে আসিস না"
অঁনে কি আঁর হতা উইনতে লাইজ্ঞুন?,আপনি কি আমার কথা শুনছেন?
"তুই এব্বেরে আঁরে ভুলি গেইয়্যুস, উজ্ঞো কল পর্যন্ত নো দস","তুই একদম আমাকে ভুলে গেছিস, একটা কল পর্যন্ত দেস না"
"তুঁই যদি এহেল্লে যও, তইলি রাতিয়ের বাসুত ন যাইয়্যু","তুমি যদি একা যাও, তাহলে রাতের বাসে যেও না"
আত্তুন একবার লইলি বারবার লইতু মন চাইবু,আমার থেকে একবার নিলে বারবার নিতে মন চাইবে
এক্কানা সামনে যায় সা তো কিল্লে এত জ্যাম লাগি আছে,একটু সামনে গিয়ে দেখ তো কেন এত জ্যাম লেগে আছে
বেশি যারগই ন গরি ফেন ইবে পরি লও,বেশি দুষ্টামি না করে প্যান্টটা পরে নাও
"আত্তুন বুমি আইবু মনে অর, তোর হাছে আচার আছে?","আমার বমি আসবে মনে হচ্ছে, তোর কাছে আচার আছে?"
আত্তুন যহন মন হারাপ থাহে তহন আঁই উডোনোত ফইরোর পাশে বই থাহি,আমার যখন মন খারাপ থাকে তখন আমি উঠোনে পুকুরের পাশে বসে থাকি
"বদ্দা, অঁনে ন আইলি আজিয়ের আড্ডা ইয়েন একদম ন জইমতো","ভাই, আপনি না এলে আজকের আড্ডাটা একদম জমত না"
"আইচ্ছে ঠিক আছে, এগিন লই রে আঁই তুর লগে তর্ক গইত্তাম ন চায়","আচ্ছা ঠিক আছে, এসব নিয়ে আমি তোর সাথে তর্ক করতে চায় না"
তোঁয়ার ভাইরে হইয়্যো আঁরে কিছু টিয়া উধোর দিতো,তোমার ভাইকে বলিও আমাকে কিছু টাকা ধার দিতে
"অন্য কিয়াই অইলি ১০০০ টিয়া হইতাম, অঁনোরে দেহি হম হইলাম","অন্য কেউ হলে ১০০০ টাকা বলতাম, আপনাকে দেখে কম বললাম"
"গ্যাস শেষ অই গেইয়্যি, এতেল্লে এহন মেডির চুলোত রান্না গরন ফরিবু","গ্যাস শেষ হয়ে গেছে, তাই এখন মাটির চুলায় রান্না করতে হবে"
"তোর হাস্তা-হাসিলত আত্তুন গম ন লার, দিন দিন হারাফ অই যর","তোর স্বভাব-চরিত্র আমার ভালো লাগছে না, দিন দিন খারাপ হয়ে যাচ্ছিস"
তুই ন থাহিলি আঁই এতক্ষনে ঘুমাই যেতাম,তুই না থাকলে আমি এতক্ষণে ঘুমিয়ে যেতাম
আরাদিন কম্পিউটারোত বই বই কি গরো?,সারাদিন কম্পিউটারে বসে বসে কী করো?
যারার মনত হাছারা আছে ইতারারে আঁই পছন্দ ন গরি,"যাদের মনে ময়লা আছে, তাদেরকে আমি পছন্দ করি না"
আডুর ব্যথার হারনে সিরি বাই উঠতে বৌত হষ্ট অর,হাঁটুতে ব্যথার কারণে সিঁড়ি বেয়ে উঠতে অনেক কষ্ট হচ্ছে
"তোঁয়ারে আঁই বৌত বিশ্বেস গরি, দয়া গরি এরহম ন গইজ্জো","তোমাকে আমি অনেক বিশ্বাস করি, দয়া করে এমন করো না"
মানুষ বলে দাত থাইকতে দাতোর মুইল্য ন বুঝে,মানুষ নাকি দাঁত থাকতে দাঁতের মর্যাদা বুঝে না
ঢাহাত যায় রে তো আঁরারে ভুলি গেইয়্যুস,ঢাকায় গিয়ে তো আমাদেরকে ভুলে গেছিস
রাস্তাত জ্যাম অইলি পাঠাও গরি চলি আইয়্যু,রাস্তায় জ্যাম হলে পাঠাও করে চলে আসো
"স্যার, আঁই কি আইত পারি?","স্যার, আমি কি আসতে পারি?"
ভুল কি আঁই এহেল্লে গইজ্জি?,ভুল কি আমি একা করেছি?
অঁনে হনো চিন্তে নগইজ্জোন,আপনি কোন চিন্তা করিয়েন না
"আরে, ঘেডিত ন মারিস, বিরক্ত লাগে","আরে, ঘাড়ে মারিস না, বিরক্ত লাগে"
"বদ্দা, গারি অন্য রাস্তা দি লই যন, উইন্নি এই রাস্তাত নাকি চোর-ডাহাইতুর ডর আছে","ভাই, গাড়ি অন্য রাস্তা দিয়ে নিয়ে যান, শুনেছি এই রাস্তায় নাকি চোর-ডাকাতের ভয় আছে"
"কিরে, কেন অইয়্যিদে তোঁয়াত্তন! তুঁই কি আঁর হনো হতাত গুসসা অইয়্যু?","কিরে, কী হয়েছে তোমার! তুমি কি আমার কোনো কথায় রাগ করেছো?"
গরম হমিলি তারপর হাট্টল হাইয়্যুম,গরম কমলে তারপর কাঁঠাল খাব
"আঁরার পারার কুত্তো ইবেরে যিয়েন দি ইয়েন হায়, হনো বাছবিচের নেই","আমাদের পাড়ার কুকুরকে যা দেয় তাই খায়, কোনো বাছবিচার নেই"
"এগুন ব্যবসার টিয়া ভাই, এগুন উধোর দিত পাইত্তাম ন","এগুলো ব্যবসার টাকা ভাই, এগুলো ধার দিতে পারব না"
"তোরে হইলাম দে জিনিস হম আনিবের লাই, এহন এল্লেত ভারী ব্যাগ লই ফা'রুত উইট্টুম কেনে?","তোকে বলেছিলাম জিনিস কম আনতে, এখন এত ভারী ব্যাগ নিয়ে পাহাড়ে উঠব কীভাবে?"
"কিরে, তোর মন হনডে? হার হাছে চলি গেইয়্যি?","কিরে, তোর মন কোথায়? কার কাছে চলে গেছে?"
রাতিয়ের আকাশুর তারা চাইতে চাইতে দুনুজনে গল্প গইজ্জুম,রাতের আকাশের তারা দেখতে দেখতে দুজনে গল্প করব
"তুঁই ঘুমাইতো যও, আজিয়ে আঁই সাফ গরি দির","তুমি ঘুমাতে যাও, আজকে আমি পরিষ্কার করে দিচ্ছি"
হাম ন অইলি টিয়া ফেরত দিয়্যুম,কাজ না হলে টাকা ফেরত দিব
আঁরা বৌত মানা গরনুর পরও ড্রাইভার গারি স্লো ন গরে,আমরা অনেক মানা করার পরও ড্রাইভার গাড়ি স্লো করেনি
"সমস্যা নাই, আঁই তোঁয়ার লাই অপেক্ষা গইজ্জুম","সমস্যা নাই, আমি তোমার জন্য অপেক্ষা করব"
"আরাত্তুন আগুত্তোন হোটেল বুক গরি ফেলন ফরিবু, নইলি এনডে যাই ঝামিলেত ফরি যাইয়্যুম","আমাদের আগে থেকে হোটেল বুক করে ফেলতে হবে, না হলে ওখানে গিয়ে ঝামেলায় পড়ে যাব"
হালিয়েও যদি এল্লেত ঝর পরে তইলি টুরুত যাইতাম নো,"আগামীকালও যদি এভাবে বৃষ্টি পড়ে, তাহলে টুরে যাব না"
সামির হনডে? ইতে মাদরাসাত ন যাইবু আজিয়ে?,সামির কোথায়? সে মাদরাসায় যাবে না আজ?
"চনাড্ডেইল আর ন আইন্নো, হাইয়্যিরে আঁর পেট হারাফ অই গেইয়্যি","ছোলার ডাল আর আনিও না, খেয়ে আমার পেট খারাপ হয়ে গেছে"
কেন আছোস বন্ধু? ঢাহাত্তুন হত্তে আইস্যুস?,কেমন আছিস বন্ধু? ঢাকা থেকে কখন আসছোস?
আরাদিন অফিসুত হাজ গরি বারি ফিরিলি শরীল আর চইলতো ন চায়,সারাদিন অফিসে কাজ করে বাড়ি ফিরলে শরীর আর চলতে চায় না
"বাসুত ঘুম যন ভালা ন, টিয়া-ফুইশে আর ব্যাগ চুরি অই যাইত পারে","বাসে ঘুমানো ভালো না, টাকা-পয়সা আর ব্যাগ চুরি হয়ে যেতে পারে"
সিএনজি লই মুরাদপুর উত্তুন নিউ মার্কেটুত গেলি ভারা হতো ফরিবু?,সিএনজি নিয়ে মুরাদপুর থেকে নিউ মার্কেটে গেলে ভাড়া কত পড়বে?
"হাজ ইয়েন এক্কানা কঠিন, যদি তুঁই ন চও তইলি আঁই তোঁয়ারে জোর গইত্তাম নো","কাজটা একটু কঠিন, যদি তুমি না চাও, তাহলে আমি তোমাকে জোর করব না"
"এবার ঈদুর বাজার জহুর মার্কেটুত্তুন গইজ্জুম, এনডে জিনিস এক্কানা অস্তা দামে পা যায়","এবার ঈদের বাজার জহুর মার্কেট থেকে করব, ওখানে জিনিস একটু সস্তা দামে পাওয়া যায়"
আরাদিন বন্ধু অক্কলোর লগে ঘুরাঘুরি গরিলি পরালেহা হত্তে গরিবে?,সারাদিন বন্ধুদের সাথে ঘুরাঘুরি করলে পড়ালেখা কখন করবে?
"অঁনে যে দাম হইয়্যুন, আঁর মুখুদ্দি তো আর হতা বাইর ন অর","আপনি যে দাম বলেছেন, আমার মুখ দিয়ে তো আর কথা বের হচ্ছে না"
"ইয়েন আঁর বন্ধুর দোয়ান, বিয়াজ্ঞুন এত্তুন বাজার গরিস","এটা আমার বন্ধুর দোকান, সবাই এখান থেকে বাজার করিস"
অঁনোরার অনলাইন শ'পুত অর্ডার গইজ্জিলাম কিন্তু তিন দিন পরও ডেলিভারি ন পাই,আপনাদের অনলাইন শপে অর্ডার করেছিলাম কিন্তু তিন দিন পরেও ডেলিভারি পাইনি
জুতা এগিন ফাফোসুর উদ্দি রাহো,জুতাগুলো পাপোসের উপর রাখো
"কিছুদিন হর ধুঅন ন পরে, এতেল্লে গা'আর ব্যথা এক্কানা হইম্মি","কিছুদিন কাপড় ধুতে হয়নি, তাই গায়ের ব্যথা একটু কমেছে"
হাস্তা হাসিলত তো বিয়াক তুর ভাইয়ুর মতন অইয়্যি,স্বভাব চরিত্র তো সব তোর ভাইয়ের মতো হয়েছে
আজিয়ে নিউ মার্কেটুত্তুন উজ্ঞো পাঞ্জাবি কিন্নি,আজকে নিউ মার্কেট থেকে একটা পাঞ্জাবি কিনেছি
"হালিয়েত্তুন অরতাল, এতেল্লে গারি ন চলিবু","আগামীকাল থেকে হরতাল, সেজন্য গাড়ি চলবে না"
"এন এক্কান যুগুত আইসসি, যে যুগুত নিজুর চরিত্র ঠিক রাহন বৌত কঠিন","এমন একটা যুগে এসেছি, যে যুগে নিজের চরিত্র ঠিক রাখা অনেক কঠিন"
"আম্মু, আঁর লাই এক্কানা ভাত বারি দও, বৌত ভুক গেইজ্ঞি","আম্মু, আমার জন্য একটু ভাত বেড়ে দাও, অনেক ক্ষুধা লেগেছে"
ফা'রুত বেশি উরে উডন ঠিক ন অইবু,পাহাড়ে বেশি ওপরে ওঠা ঠিক হবে না
"আঁরার জীবন ইয়েন বৌত ছোডো, এতেল্লে যতদিন বাছি আছি ভালা হাজ গরন দরহার","আমাদের জীবনটা অনেক ছোট, তাই যতদিন বেঁচে আছি ভালো কাজ করা দরকার"
"আঁর ডায়বেটিস বারি গেইয়্যি, আবার নিয়ন্ত্রনুত আনন ফরিবু","আমার ডায়াবেটিস বেড়ে গেছে, আবার নিয়ন্ত্রণে আনতে হবে"
আঁই তোরে মানা গরিবের পরও অনডে কিল্লে গেলি?,আমি তোকে নিষেধ করার পরও ওখানে কেন গেলি?
"দোয়ান আরেক্কান উত চাইলাম দাম বৌত হম, তুঁই এল্লেত বেশি কা লর?","দোকান আরেকটায় দেখেছি দাম অনেক কম, তুমি এত বেশি কেন নিচ্ছো?"
"লোকাল বাসুত উডিলি এই সমস্যা, জাগাত জাগাত থিয়েই থাহে","লোকাল বাসে উঠলে এই সমস্যা, জায়গায় জায়গায় দাঁড়িয়ে থাকে"
"আঁর এগিন একদম টাটকা সবজি, এক্কানা আগেই ক্ষেতিত্তুন এইন্নি","আমারগুলো একদম টাটকা সবজি, কিছুক্ষণ আগেই ক্ষেত থেকে এনেছি"
এই গরোমর দিনোত বেশি গরি পানি হন আর যেদ্দুর পারন বাদ্দির রইদুত্তুন দূরে থাহন,এই গরমের দিনে বেশি করে পানি পান করুন এবং যথাসম্ভব বাইরের রোদ এড়িয়ে চলুন
"বাইচ্চে অক্কলুর পরীক্ষে সাম্মোদ্দি, এন সমত ঘরুত টিভি আনিবের কি দরহার আছিল?","বাচ্চাদের পরীক্ষা সামনে, এমন সময় ঘরে টিভি আনার কী দরকার ছিল?"
দারোওয়ানুর ভাব দেহি মনে অদ্দে যেন বাসার মালিক,দারোয়ানের ভাব দেখে মনে হচ্ছে যেন বাসার মালিক
"ইতারা নৌকো ভারা বেশি চার, চল আঁরা অন্য নৌকো চায়","এরা নৌকা ভাড়া বেশি চাচ্ছে, চল আমরা অন্য নৌকা দেখি"
"আজিয়ে আর হনো ঢাহার বাস বাকি নেই, বিয়াজ্ঞিন চলি গেইয়্যি","আজকে আর কোনো ঢাকার বাস বাকি নেই, সবগুলো চলে গেছে"
"ফইত্তুদিন বেইন্নে উডি চিন্তে গরিদি আজিয়ে আরাদিন বৌত হাম গইজ্জুম, কিন্তু হাজুর হাজ কিছুই ন অয়","প্রতিদিন সকালে উঠে চিন্তা করি যে আজকে সারাদিন অনেক কাজ করব, কিন্তু কাজের কাজ কিছুই হয় না"
"ইবে কি একদাম, নাকি হম অইবু?","এটা কি একদাম, নাকি কম হবে?"
"বদ্দা, ইবে একদম অরিজিনাল গার্মেন্টস উর মাল","ভাই, এটা একদম অরিজিনাল গার্মেন্টসের মাল"
শীতহালে ঠান্ডা পানি হাইলি গলা ব্যথা অই যাইবু,শীতকালে ঠান্ডা পানি খেলে গলা ব্যথা হয়ে যাবে
"ভাবি মনে অয় বেশি টেনশন দেই, মাথার চুল তো বিয়াক পরি যার","ভাবি, মনে হয় বেশি টেনশন দেই, মাথার চুল তো সব পড়ে যাচ্ছে"
"আজিয়ে বেইন্নে উডিই বুমি বুমি ভাব লাগের, কিছু হাইত ন পারির","আজকে সকালে উঠেই বমি বমি ভাব লাগছে, কিছু খেতে পারছি না"
"আজিয়ে সেহেরি হাইবের লাই উডিত ন ফারি, এতেল্লে কিছু ন হাই রোজা রাইক্কি","আজকে সেহরি খাওয়ার জন্য উঠতে পারিনি, সেজন্য কিছু না খেয়ে রোজা রেখেছি"
"মা, আঁর হুত্তা ইবে এক্কানা ইস্ত্রি গরি রাহো, হালিয়ে পরন ফরিবু","মা, আমার জামাটা একটু ইস্ত্রি করে রাখো, কাল পরতে হবে"
"হালাম্মা বলে বেরাইতু গেইয়্যি, আঁর লগে যাইত ন ফারিবু","খালাম্মা নাকি বেড়াতে গেছেন, আমার সাথে যেতে পারবেন না"
আত্তুন তারাতারি কিছু এক্কান গরন ফরিবু,আমার তাড়াতাড়ি কিছু একটা করতে হবে
তুর অরি তো ফোন ন ধরে,তোর শাশুড়ি তো ফোন ধরে না
মেমান অক্কলোরে বারান্দাত বইসতো দ আর দরজার পর্দাগান টানি দ,মেহমানদের বারান্দায় বসতে দাও এবং দরজার পর্দাটা টেনে দাও
বাগানোর কিছু হাম এহনো বাকি আছে,বাগানের কিছু কাজ এখনো বাকি আছে
তোঁয়ার হতা উনি রে আঁর বুকোত ব্যাথা শুরু অই গেইয়্যি,তোমার কথা শুনে আমার বুকে ব্যাথা শুরু হয়ে গেছে
"অঁনে এক্কানা বইয়্যুন, আঁই চা লই আইর","আপনি একটু বসুন, আমি চা নিয়ে আসছি"
হাজুর চাপ বেশি আছিল দি এতেল্লে তোঁয়ার ফোন ধরিত ন ফারি,কাজের চাপ বেশি ছিল বলে তোমার ফোন ধরতে পারিনি
"আইচ্ছে তুঁই হাজ শেষ গরো, আঁই বাদ্দি অপেক্ষা গরির","আচ্ছা তুমি কাজ শেষ কর, আমি বাইরে অপেক্ষা করছি"
কি অইয়্যি দে! কি অইয়্যি দে ন জানোস?,কি হয়েছে! কি হয়েছে জানিস না?
এনডের দোয়ানদার এগুন বিয়াক সিন্ডিকেট,এখানের দোকানদারগুলো সব সিন্ডিকেট
"আঁরার এবার সময় হম, এতেল্লে সিলেবাস ছোডো রাহিলি ভালা অইবু","আমাদের এবার সময় কম, তাই সিলেবাস ছোট রাখলে ভালো হবে"
"হয়েকদিন ধরি ঠিকমতো ঘুম ন অর, শরীল এব্বেরে ভাঙি ফইজ্জি","কয়েকদিন ধরে ঠিকমতো ঘুম হচ্ছে না, শরীর একদম ভেঙে পড়েছে"
"হালিয়ে যদি রইদ থাহে, তইলি মাডোর ধান হাডি রইদুত ফোওয়োন যাইবু","আগামীকাল যদি রোদ থাকে, তাহলে মাঠের ধান কেটে রোদে শুকানো যাবে"
আঁর মাথাত এক্কান বুদ্ধি আইসসি,আমার মাথায় একটা বুদ্ধি আসছে
